x,y
267.5,751.5
342.5,485.5
357.5,757.5
380.5,830.5
381.5,109.5
383.5,820.5
389.5,968.5
395.5,899.5
399.5,105.5
402.5,580.5
406.5,906.5
410.5,666.5
412.5,524.5
412.5,952.5
418.5,182.5
420.5,823.5
422.5,902.5
422.5,966.5
423.5,809.5
425.5,135.5
444.5,693.5
449.5,327.5
456.5,728.5
468.5,490.5
474.5,204.5
476.5,621.5
504.5,327.5
509.5,817.5
514.5,806.5
522.5,400.5
525.5,646.5
526.5,770.5
537.5,743.5
544.5,335.5
551.5,347.5
567.5,303.5
582.5,773.5
586.5,199.5
586.5,720.5
588.5,384.5
593.5,704.5
595.5,753.5
597.5,555.5
599.5,602.5
601.5,711.5
617.5,342.5
639.5,567.5
640.5,799.5
645.5,508.5
654.5,453.5
656.5,585.5
670.5,750.5
674.5,304.5
675.5,437.5
697.5,639.5
707.5,337.5
711.5,606.5
718.5,290.5
720.5,390.5
731.5,433.5
766.5,288.5
770.5,291.5
775.5,276.5
827.5,264.5
254.5,565.5
555.5,313.5
756.5,425.5
541.5,869.5
564.5,139.5
802.5,381.5
121.5,657.5
155.5,659.5
179.5,590.5
209.5,720.5
277.5,804.5
337.5,678.5
341.5,658.5
348.5,509.5
358.5,915.5
390.5,944.5
391.5,658.5
393.5,688.5
395.5,497.5
416.5,292.5
416.5,834.5
418.5,150.5
418.5,886.5
435.5,627.5
449.5,960.5
463.5,198.5
472.5,688.5
476.5,265.5
482.5,451.5
506.5,768.5
528.5,780.5
529.5,281.5
529.5,877.5
530.5,257.5
533.5,879.5
563.5,707.5
563.5,827.5
567.5,858.5
568.5,483.5
591.5,720.5
594.5,205.5
597.5,620.5
602.5,464.5
632.5,797.5
634.5,607.5
636.5,406.5
641.5,272.5
642.5,187.5
644.5,822.5
655.5,415.5
657.5,709.5
665.5,740.5
718.5,407.5
720.5,338.5
736.5,251.5
739.5,400.5
749.5,295.5
762.5,466.5
777.5,614.5
325.5,453.5
434.5,584.5
449.5,586.5
506.5,881.5
510.5,569.5
513.5,324.5
671.5,459.5
199.5,653.5
336.5,459.5
370.5,598.5
443.5,256.5
480.5,785.5
633.5,549.5
636.5,523.5
299.5,68.5
302.5,774.5
328.5,430.5
330.5,683.5
332.5,501.5
387.5,816.5
418.5,973.5
462.5,162.5
463.5,758.5
474.5,493.5
478.5,383.5
532.5,512.5
561.5,130.5
585.5,731.5
606.5,536.5
638.5,371.5
654.5,686.5
676.5,456.5
729.5,388.5
777.5,404.5
814.5,351.5
833.5,281.5
836.5,556.5
437.5,372.5
85.5,643.5
87.5,619.5
109.5,682.5
113.5,633.5
120.5,757.5
135.5,652.5
148.5,657.5
163.5,714.5
164.5,622.5
164.5,765.5
249.5,740.5
320.5,640.5
328.5,768.5
331.5,477.5
333.5,844.5
339.5,760.5
341.5,786.5
356.5,527.5
365.5,675.5
366.5,741.5
369.5,779.5
392.5,894.5
393.5,185.5
394.5,87.5
401.5,885.5
412.5,805.5
414.5,878.5
414.5,888.5
418.5,197.5
422.5,176.5
428.5,871.5
447.5,625.5
457.5,527.5
463.5,504.5
477.5,465.5
478.5,483.5
494.5,834.5
495.5,816.5
507.5,759.5
509.5,855.5
514.5,394.5
516.5,867.5
518.5,753.5
528.5,139.5
528.5,527.5
530.5,796.5
534.5,264.5
534.5,635.5
541.5,855.5
542.5,819.5
545.5,266.5
553.5,494.5
554.5,803.5
567.5,212.5
569.5,384.5
571.5,744.5
583.5,222.5
595.5,727.5
645.5,339.5
648.5,520.5
653.5,613.5
660.5,728.5
679.5,388.5
682.5,560.5
723.5,417.5
776.5,289.5
781.5,605.5
786.5,260.5
824.5,256.5
832.5,320.5
245.5,619.5
287.5,595.5
497.5,855.5
602.5,661.5
676.5,507.5
88.5,628.5
184.5,639.5
198.5,634.5
220.5,616.5
240.5,698.5
247.5,632.5
295.5,600.5
309.5,607.5
313.5,750.5
315.5,597.5
336.5,804.5
340.5,886.5
344.5,842.5
351.5,769.5
365.5,894.5
370.5,901.5
377.5,853.5
377.5,956.5
380.5,761.5
408.5,581.5
411.5,850.5
412.5,109.5
423.5,723.5
424.5,161.5
430.5,887.5
439.5,142.5
458.5,177.5
460.5,536.5
475.5,304.5
480.5,462.5
524.5,506.5
525.5,390.5
538.5,272.5
559.5,803.5
562.5,216.5
566.5,293.5
571.5,397.5
574.5,285.5
589.5,678.5
590.5,779.5
593.5,740.5
600.5,615.5
609.5,584.5
611.5,747.5
619.5,652.5
634.5,745.5
649.5,820.5
652.5,640.5
663.5,422.5
664.5,484.5
668.5,607.5
669.5,518.5
676.5,749.5
677.5,701.5
714.5,256.5
724.5,426.5
726.5,233.5
730.5,597.5
763.5,237.5
763.5,484.5
782.5,613.5
840.5,272.5
112.5,727.5
270.5,653.5
313.5,566.5
383.5,978.5
491.5,208.5
504.5,545.5
559.5,830.5
651.5,500.5
665.5,194.5
687.5,330.5
739.5,442.5
807.5,488.5
810.5,264.5
843.5,265.5
127.5,582.5
158.5,849.5
334.5,771.5
481.5,560.5
493.5,745.5
512.5,502.5
589.5,786.5
644.5,480.5
235.5,702.5
381.5,862.5
437.5,196.5
438.5,300.5
458.5,337.5
487.5,608.5
524.5,573.5
536.5,563.5
563.5,550.5
640.5,520.5
646.5,591.5
660.5,755.5
726.5,602.5
337.5,856.5
420.5,536.5
422.5,525.5
432.5,668.5
488.5,421.5
513.5,524.5
526.5,632.5
528.5,412.5
585.5,248.5
709.5,226.5
769.5,422.5
650.5,576.5
124.5,614.5
147.5,758.5
156.5,710.5
160.5,736.5
217.5,662.5
235.5,713.5
240.5,707.5
246.5,725.5
247.5,710.5
316.5,648.5
322.5,752.5
338.5,621.5
338.5,721.5
342.5,517.5
343.5,524.5
366.5,903.5
370.5,787.5
385.5,119.5
387.5,883.5
393.5,653.5
404.5,651.5
406.5,642.5
410.5,886.5
414.5,640.5
417.5,799.5
418.5,906.5
421.5,933.5
439.5,722.5
440.5,229.5
441.5,313.5
444.5,214.5
461.5,529.5
487.5,595.5
509.5,836.5
520.5,670.5
546.5,413.5
547.5,812.5
559.5,657.5
576.5,654.5
577.5,552.5
584.5,310.5
619.5,454.5
624.5,590.5
644.5,457.5
658.5,380.5
664.5,427.5
666.5,539.5
669.5,708.5
702.5,546.5
725.5,276.5
737.5,572.5
734.5,483.5
737.5,489.5
126.5,714.5
95.5,623.5
97.5,651.5
99.5,629.5
150.5,710.5
161.5,778.5
163.5,675.5
212.5,661.5
226.5,705.5
249.5,672.5
254.5,768.5
279.5,673.5
289.5,649.5
290.5,682.5
297.5,729.5
344.5,539.5
346.5,574.5
364.5,770.5
368.5,672.5
374.5,744.5
376.5,50.5
381.5,775.5
397.5,720.5
403.5,690.5
403.5,977.5
405.5,169.5
412.5,671.5
412.5,718.5
418.5,733.5
422.5,117.5
427.5,180.5
440.5,696.5
449.5,204.5
458.5,268.5
458.5,662.5
469.5,786.5
473.5,780.5
475.5,699.5
480.5,306.5
481.5,673.5
487.5,786.5
495.5,316.5
496.5,771.5
509.5,551.5
512.5,745.5
529.5,806.5
530.5,569.5
536.5,724.5
537.5,364.5
540.5,318.5
542.5,787.5
545.5,262.5
545.5,763.5
552.5,661.5
555.5,695.5
565.5,207.5
565.5,732.5
569.5,489.5
581.5,723.5
587.5,300.5
589.5,725.5
590.5,208.5
597.5,583.5
601.5,507.5
605.5,729.5
606.5,702.5
608.5,683.5
610.5,249.5
615.5,461.5
622.5,212.5
624.5,804.5
627.5,640.5
630.5,750.5
631.5,720.5
633.5,787.5
638.5,586.5
639.5,203.5
644.5,630.5
648.5,548.5
655.5,403.5
664.5,532.5
670.5,341.5
676.5,467.5
678.5,444.5
679.5,366.5
681.5,310.5
682.5,553.5
684.5,548.5
694.5,436.5
696.5,580.5
698.5,352.5
709.5,329.5
712.5,370.5
714.5,346.5
720.5,597.5
729.5,613.5
749.5,280.5
754.5,238.5
758.5,431.5
759.5,251.5
759.5,485.5
775.5,293.5
839.5,276.5
158.5,601.5
206.5,611.5
274.5,657.5
368.5,722.5
382.5,897.5
411.5,587.5
415.5,95.5
419.5,812.5
423.5,210.5
425.5,887.5
437.5,784.5
445.5,330.5
450.5,607.5
464.5,227.5
571.5,144.5
626.5,646.5
628.5,781.5
660.5,533.5
685.5,460.5
702.5,445.5
24.5,599.5
357.5,600.5
625.5,291.5
5.5,589.5
10.5,593.5
52.5,607.5
177.5,761.5
217.5,765.5
276.5,738.5
283.5,710.5
300.5,684.5
348.5,859.5
352.5,795.5
371.5,116.5
402.5,611.5
405.5,957.5
408.5,894.5
421.5,755.5
441.5,237.5
444.5,602.5
445.5,277.5
520.5,579.5
522.5,269.5
538.5,842.5
543.5,567.5
546.5,851.5
548.5,515.5
671.5,318.5
673.5,612.5
684.5,307.5
724.5,255.5
746.5,550.5
787.5,609.5
107.5,722.5
294.5,742.5
438.5,409.5
686.5,528.5
93.5,608.5
114.5,707.5
120.5,631.5
148.5,753.5
221.5,644.5
322.5,757.5
326.5,448.5
331.5,587.5
350.5,537.5
365.5,745.5
366.5,78.5
389.5,605.5
410.5,932.5
442.5,731.5
462.5,520.5
488.5,575.5
494.5,788.5
508.5,310.5
580.5,276.5
597.5,518.5
661.5,580.5
667.5,715.5
703.5,739.5
440.5,895.5
87.5,675.5
107.5,601.5
111.5,614.5
127.5,655.5
133.5,747.5
153.5,735.5
169.5,682.5
178.5,677.5
180.5,668.5
195.5,639.5
246.5,652.5
261.5,783.5
306.5,602.5
315.5,580.5
355.5,82.5
361.5,863.5
366.5,539.5
367.5,798.5
372.5,765.5
387.5,790.5
394.5,197.5
400.5,156.5
400.5,523.5
400.5,626.5
401.5,966.5
414.5,698.5
415.5,854.5
423.5,870.5
423.5,894.5
429.5,796.5
429.5,835.5
431.5,707.5
433.5,230.5
437.5,248.5
